username,user_type,photo_path,status
t1@urjwan.com,instructor,urjwan_app/user_photos/default_user.png,
t2@urjwan.com,instructor,urjwan_app/user_photos/default_user.png,
student1@urjwan.com,student,urjwan_app/user_photos/lightbulb.png,Could this be??
student2@urjwan.com,student,urjwan_app/user_photos/default_user.png,
student3@urjwan.com,student,urjwan_app/user_photos/wp1838745.jpg,Excited to start!
student4@urjwan.com,student,urjwan_app/user_photos/alone.png,Focused on learning
student5@urjwan.com,student,urjwan_app/user_photos/default_user.png,
student6@urjwan.com,student,urjwan_app/user_photos/default_user.png,
student7@urjwan.com,student,urjwan_app/user_photos/default_user.png,
student8@urjwan.com,student,urjwan_app/user_photos/default_user.png,In classes today ~~
student9@urjwan.com,student,urjwan_app/user_photos/painting.png,Busy marking papers this week
student10@urjwan.com,student,urjwan_app/user_photos/man.png,this is me!!
